symptom_text,prognosis
"itching, skin rash, nodal skin eruptions, dischromic  patches",Fungal Infection
"skin rash, nodal skin eruptions, dischromic  patches",Fungal Infection
"itching, nodal skin eruptions, dischromic  patches",Fungal Infection
"itching, skin rash, dischromic  patches",Fungal Infection
"continuous sneezing, shivering, chills, watering from eyes",Allergy
"shivering, chills, watering from eyes",Allergy
"continuous sneezing, chills, watering from eyes",Allergy
"continuous sneezing, shivering, watering from eyes",Allergy
"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain",Gastroesophageal Reflux Disease
"stomach pain, ulcers on tongue, vomiting, cough, chest pain",Gastroesophageal Reflux Disease
"stomach pain, acidity, vomiting, cough, chest pain",Gastroesophageal Reflux Disease
"stomach pain, acidity, ulcers on tongue, cough, chest pain",Gastroesophageal Reflux Disease
"stomach pain, acidity, ulcers on tongue, vomiting, chest pain",Gastroesophageal Reflux Disease
"acidity, ulcers on tongue, vomiting, cough, chest pain",Gastroesophageal Reflux Disease
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Chronic Cholestasis
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Chronic Cholestasis
"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Chronic Cholestasis
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes",Chronic Cholestasis
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes",Chronic Cholestasis
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes",Chronic Cholestasis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain",Chronic Cholestasis
"itching, stomach pain, burning micturition, spotting  urination",Drug Reaction
"itching, skin rash, burning micturition, spotting  urination",Drug Reaction
"itching, skin rash, stomach pain, spotting  urination",Drug Reaction
"itching, skin rash, stomach pain, burning micturition",Drug Reaction
"skin rash, stomach pain, burning micturition, spotting  urination",Drug Reaction
"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Peptic Ulcer Disease
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Peptic Ulcer Disease
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Peptic Ulcer Disease
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Peptic Ulcer Disease
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Peptic Ulcer Disease
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Peptic Ulcer Disease
"muscle wasting, patches in throat, high fever, extra marital contacts",AIDS
"muscle wasting, high fever, extra marital contacts",AIDS
"muscle wasting, patches in throat, extra marital contacts",AIDS
"muscle wasting, patches in throat, high fever",AIDS
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"fatigue, weight loss, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"fatigue, weight loss, restlessness, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"fatigue, weight loss, restlessness, lethargy, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, obesity, excessive hunger, increased appetite, polyuria",Diabetes
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, excessive hunger, increased appetite, polyuria",Diabetes
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, increased appetite, polyuria",Diabetes
"vomiting, sunken eyes, dehydration, diarrhoea",Gastroenteritis
"sunken eyes, dehydration, diarrhoea",Gastroenteritis
"vomiting, sunken eyes, diarrhoea",Gastroenteritis
"vomiting, sunken eyes, dehydration",Gastroenteritis
"fatigue, cough, high fever, breathlessness, family history, mucoid sputum",Bronchial Asthma
"cough, high fever, breathlessness, family history, mucoid sputum",Bronchial Asthma
"fatigue, high fever, breathlessness, family history, mucoid sputum",Bronchial Asthma
"fatigue, cough, breathlessness, family history, mucoid sputum",Bronchial Asthma
"fatigue, cough, high fever, family history, mucoid sputum",Bronchial Asthma
"fatigue, cough, high fever, breathlessness, family history",Bronchial Asthma
"headache, chest pain, dizziness, loss of balance, lack of concentration",Hypertension
"headache, dizziness, loss of balance, lack of concentration",Hypertension
"headache, chest pain, loss of balance, lack of concentration",Hypertension
"headache, chest pain, dizziness, lack of concentration",Hypertension
"headache, chest pain, dizziness, loss of balance",Hypertension
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Migraine
"indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Migraine
"acidity, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Migraine
"acidity, indigestion, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Migraine
"acidity, indigestion, headache, blurred and distorted vision, stiff neck, depression, irritability, visual disturbances",Migraine
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, depression, irritability, visual disturbances",Migraine
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, irritability, visual disturbances",Migraine
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, visual disturbances",Migraine
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability",Migraine
"weakness in limbs, neck pain, dizziness, loss of balance",Cervical Spondylosis
"back pain, neck pain, dizziness, loss of balance",Cervical Spondylosis
"back pain, weakness in limbs, dizziness, loss of balance",Cervical Spondylosis
"back pain, weakness in limbs, neck pain, loss of balance",Cervical Spondylosis
"back pain, weakness in limbs, neck pain, dizziness",Cervical Spondylosis
"vomiting, headache, weakness of one body side, altered sensorium",Paralysis (Brain Hemorrhage)
"headache, weakness of one body side, altered sensorium",Paralysis (Brain Hemorrhage)
"vomiting, headache, altered sensorium",Paralysis (Brain Hemorrhage)
"vomiting, headache, weakness of one body side",Paralysis (Brain Hemorrhage)
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Jaundice
"vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Jaundice
"itching, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Jaundice
"itching, vomiting, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Jaundice
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Jaundice
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Jaundice
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Jaundice
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine",Jaundice
"chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Malaria
"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Malaria
"vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Malaria
"chills, vomiting, sweating, headache, nausea, diarrhoea, muscle pain",Malaria
"chills, vomiting, high fever, headache, nausea, diarrhoea, muscle pain",Malaria
"chills, vomiting, high fever, sweating, nausea, diarrhoea, muscle pain",Malaria
"chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain",Malaria
"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",Chicken Pox
"itching, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",Chicken Pox
"itching, skin rash, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",Chicken Pox
